id	pass	pass_theme	name	problem	mechanism	donor	why_missed	benefit	friction	machine_cost	risks	test	related	related_ids	novelty	verdict
L143	11	CPU and caching donor	Benchmark suite	[pass] review and delivery are inefficient	a fixed battery of items run before and after each engine change	benchmark suites (SPEC)	[pass] no model of access patterns	[pass] the right idea ready at the right time	L	M	[pass] metaphor stretch	[pass] warm-up accuracy near target	[computed] Delay-aware evaluation; Mental simulation	L094 L316	KNOWN	S
L144	12	Operating-systems donor	Priority scheduler	[pass] a new organ could harm the host app or the life	medicine > sleep > Renaissance	priority scheduling (OS)	[pass] apps compete for time and state	[pass] isolation, priority and kill switches	L	L	[pass] none significant	[pass] isolation and gate tests	[computed] Symbiosis with medicine; Externalities on medicine	L071 L282	KNOWN	S
L145	12	Operating-systems donor	Process isolation	[pass] a new organ could harm the host app or the life	own storage, own DOM	process isolation (OS)	[pass] apps compete for time and state	[pass] isolation, priority and kill switches	L	L	[pass] none significant	[pass] isolation and gate tests	[computed] Bureaucracy minimum; Predict your own score	L400 L448	KNOWN	S
L146	12	Operating-systems donor	Kill switch	[pass] a new organ could harm the host app or the life	three independent off switches	feature flags	[pass] apps compete for time and state	[pass] isolation, priority and kill switches	L	L	[pass] none significant	[pass] isolation and gate tests	[computed] Kill switches; Constitutional kill switch	O6410 L403	KNOWN	S
L147	12	Operating-systems donor	Explicit syscall	[pass] a new organ could harm the host app or the life	read CNS state through one call only	system calls	[pass] apps compete for time and state	[pass] isolation, priority and kill switches	L	L	[pass] none significant	[pass] isolation and gate tests	[computed] Fail-safe default; Multi-user	O7212 L156	KNOWN	S
L148	12	Operating-systems donor	Hidden machinery	[pass] a new organ could harm the host app or the life	learner never sees the backend	encapsulation	[pass] apps compete for time and state	[pass] isolation, priority and kill switches	L	L	[pass] none significant	[pass] isolation and gate tests	[computed] Rebuild test; Permissions	L011 L152	KNOWN	S
L149	12	Operating-systems donor	Event journal	[pass] a new organ could harm the host app or the life	every answer is an event	event sourcing	[pass] apps compete for time and state	[pass] isolation, priority and kill switches	L	L	[pass] none significant	[pass] isolation and gate tests	[computed] Confidence on every answer; Everything course	L007 O4516	KNOWN	S
L150	12	Operating-systems donor	Belief GC	[pass] a new organ could harm the host app or the life	collect beliefs nothing uses	garbage collection	[pass] apps compete for time and state	[pass] isolation, priority and kill switches	L	L	[pass] none significant	[pass] isolation and gate tests	[computed] Belief dependency graph; Belief half-life	O5409 O5412	KNOWN	S
L151	12	Operating-systems donor	No deadlock	[pass] a new organ could harm the host app or the life	never block on one question	deadlock avoidance	[pass] apps compete for time and state	[pass] isolation, priority and kill switches	L	L	[pass] none significant	[pass] isolation and gate tests	[computed] Decisive question as the unit; No composite score	L040 L288	KNOWN	S
L152	12	Operating-systems donor	Permissions	[pass] a new organ could harm the host app or the life	learner data never leaves the device without consent	privacy by design	[pass] apps compete for time and state	[pass] isolation, priority and kill switches	L	L	[pass] none significant	[pass] isolation and gate tests	[computed] Learner's data as cases; Hidden machinery	L483 L148	KNOWN	S
L153	12	Operating-systems donor	Season packages	[pass] a new organ could harm the host app or the life	seasons are versioned files	package managers	[pass] apps compete for time and state	[pass] isolation, priority and kill switches	L	L	[pass] none significant	[pass] isolation and gate tests	[computed] Cross-season surprises; Seasons, not courses	L481 L027	KNOWN	S
L154	12	Operating-systems donor	Live update	[pass] a new organ could harm the host app or the life	service worker	hot code reload	[pass] apps compete for time and state	[pass] isolation, priority and kill switches	L	L	[pass] none significant	[pass] isolation and gate tests	[computed] Live data sessions; Shared live models	L436 L435	KNOWN	S
L155	12	Operating-systems donor	Crash recovery	[pass] a new organ could harm the host app or the life	resume mid-session	crash recovery / journaling	[pass] apps compete for time and state	[pass] isolation, priority and kill switches	L	L	[pass] none significant	[pass] isolation and gate tests	[computed] Session standard; Question, not topic	L407 L009	KNOWN	S
L156	12	Operating-systems donor	Multi-user	[pass] a new organ could harm the host app or the life	several learners share one device with separate state	multi-user operating systems	[pass] apps compete for time and state	[pass] isolation, priority and kill switches	L	L	rejected: outside the mission	[pass] isolation and gate tests	[computed] Co-op; Explicit syscall	L219 L147	KNOWN	R:SCOPE
L157	13	Compiler donor	Season compiler	[pass] sessions are hand-made and inconsistent	primitive specs → sessions	authoring tools	[pass] authoring is craft, not build	[pass] sessions built and checked like programs	L	M	[pass] rigidity	[pass] linter and schema tests	[computed] Author assistant with review; Primitive dictionary	O6511 L120	KNOWN	S
L158	13	Compiler donor	Session type checker	[pass] sessions are hand-made and inconsistent	schema tests on every session	type checking	[pass] authoring is craft, not build	[pass] sessions built and checked like programs	L	M	[pass] rigidity	[pass] linter and schema tests	[computed] Linter as constitution; Session linter	O6506 L499	KNOWN	S
L159	13	Compiler donor	Linker	[pass] sessions are hand-made and inconsistent	cross-session references resolved	linkers	[pass] authoring is craft, not build	[pass] sessions built and checked like programs	L	M	[pass] rigidity	[pass] linter and schema tests	[computed] Audio cross-compile; Session standard	L167 L407	KNOWN	S
L160	13	Compiler donor	Optimizer	[pass] sessions are hand-made and inconsistent	skip redundant steps for this learner	compiler optimisation	[pass] authoring is craft, not build	[pass] sessions built and checked like programs	L	M	[pass] rigidity	[pass] linter and schema tests	[computed] Profile-guided; Forgetting curve per learner	L166 O5609	KNOWN	S
L161	13	Compiler donor	Dead-content elimination	[pass] sessions are hand-made and inconsistent	remove what is never shown	dead-code elimination	[pass] authoring is craft, not build	[pass] sessions built and checked like programs	L	M	[pass] rigidity	[pass] linter and schema tests	[computed] Held-out audits; Understanding as the only payoff	L289 O4403	KNOWN	S
L162	13	Compiler donor	Intermediate representation	[pass] sessions are hand-made and inconsistent	primitive, cases, bugs, hooks	intermediate representations	[pass] authoring is craft, not build	[pass] sessions built and checked like programs	L	M	[pass] rigidity	[pass] linter and schema tests	[computed] Speciation; Horizontal transfer	L082 L090	KNOWN	S
L163	13	Compiler donor	Static analysis	[pass] sessions are hand-made and inconsistent	detect open-ended prompts before shipping	static analysis	[pass] authoring is craft, not build	[pass] sessions built and checked like programs	L	M	[pass] rigidity	[pass] linter and schema tests	[computed] Free creative writing; Linter as constitution	O5813 O6506	KNOWN	S
L164	13	Compiler donor	Misconception unit tests	[pass] sessions are hand-made and inconsistent	each bug has a test item	unit testing	[pass] authoring is craft, not build	[pass] sessions built and checked like programs	L	M	[pass] rigidity	[pass] linter and schema tests	[computed] Bond strength test; Misconception miner	O4606 L495	KNOWN	S
L165	13	Compiler donor	JIT dose	[pass] sessions are hand-made and inconsistent	compile today's steps at open	JIT compilation	[pass] authoring is craft, not build	[pass] sessions built and checked like programs	L	M	[pass] rigidity	[pass] linter and schema tests	[computed] Low-power mode; Frontier cards	L142 L469	KNOWN	S
L166	13	Compiler donor	Profile-guided	[pass] sessions are hand-made and inconsistent	learner data reorders steps	profile-guided optimisation	[pass] authoring is craft, not build	[pass] sessions built and checked like programs	L	M	[pass] rigidity	[pass] linter and schema tests	[computed] Learner's data as cases; Optimizer	L483 L160	KNOWN	S
L167	13	Compiler donor	Audio cross-compile	[pass] sessions are hand-made and inconsistent	compile every session automatically into an audio version	cross-compilation	[pass] authoring is craft, not build	[pass] sessions built and checked like programs	L	M	rejected: contradicted by evidence	[pass] linter and schema tests	[computed] Linker; Session type checker	L159 L158	KNOWN	R:EVID
L168	13	Compiler donor	Template macros	[pass] sessions are hand-made and inconsistent	sessions assembled from reusable text macros	template engines	[pass] authoring is craft, not build	[pass] sessions built and checked like programs	L	M	rejected: decoration or gamification	[pass] linter and schema tests	[computed] Circadian gate; Live data sessions	L074 L436	KNOWN	R:SLOP
L169	13	Compiler donor	Errors that teach	[pass] sessions are hand-made and inconsistent	the error message is the repair	error messages that teach (Elm compiler)	[pass] authoring is craft, not build	[pass] sessions built and checked like programs	L	M	[pass] rigidity	[pass] linter and schema tests	[computed] Prediction error; Mens rea for errors	L327 O6910	KNOWN	S
L170	14	Distributed-systems donor	Eventual consistency	[pass] state and sources can disagree	learner model across devices	eventual consistency	[pass] single-source assumptions	[pass] consistent state and fault-tolerant sources	L	M	[pass] complexity	[pass] consistency and provenance checks	[computed] Rebuild test; Sharding	L011 L174	KNOWN	S
L171	14	Distributed-systems donor	Evidence consensus	[pass] state and sources can disagree	a claim needs agreeing sources	consensus protocols	[pass] single-source assumptions	[pass] consistent state and fault-tolerant sources	L	M	[pass] complexity	[pass] consistency and provenance checks	[computed] Evidence ledger; Discovery obligation	L484 O6913	KNOWN	S
L172	14	Distributed-systems donor	Byzantine sources	[pass] state and sources can disagree	treat sources as possibly faulty	Byzantine fault tolerance	[pass] single-source assumptions	[pass] consistent state and fault-tolerant sources	L	M	[pass] complexity	[pass] consistency and provenance checks	[computed] Provenance on demand; Replicated sources	L429 L181	KNOWN	S
L173	14	Distributed-systems donor	Idempotent events	[pass] state and sources can disagree	replaying an event changes nothing	idempotency	[pass] single-source assumptions	[pass] consistent state and fault-tolerant sources	L	M	[pass] complexity	[pass] consistency and provenance checks	[computed] Monitoring without surveillance; Bang-bang sessions	O7219 L101	KNOWN	S
L174	14	Distributed-systems donor	Sharding	[pass] state and sources can disagree	split the learner model into independent shards per domain	database sharding	[pass] single-source assumptions	[pass] consistent state and fault-tolerant sources	L	M	rejected: outside the mission	[pass] consistency and provenance checks	[computed] Eventual consistency; Rebuild test	L170 L011	KNOWN	R:SCOPE
L175	14	Distributed-systems donor	Gossip	[pass] state and sources can disagree	ideas travel through friends	gossip protocols	[pass] single-source assumptions	[pass] consistent state and fault-tolerant sources	L	M	[pass] complexity	[pass] consistency and provenance checks	[computed] Walk-through models; Philosophy of science by cases	L266 L360	KNOWN	S
L176	14	Distributed-systems donor	Leader representation	[pass] state and sources can disagree	the winning representation leads	leader election	[pass] single-source assumptions	[pass] consistent state and fault-tolerant sources	L	M	[pass] complexity	[pass] consistency and provenance checks	[computed] Numbers representation; Speculative representation	O4810 L139	KNOWN	[computed] M:Eventual consistency
L177	14	Distributed-systems donor	Quorum before "learned"	[pass] state and sources can disagree	delayed + far + unaided all needed	quorum reads	[pass] single-source assumptions	[pass] consistent state and fault-tolerant sources	L	M	[pass] complexity	[pass] consistency and provenance checks	[computed] Delayed proof; Retirement rule	L004 L029	KNOWN	S
L178	14	Distributed-systems donor	Heartbeat check-ins	[pass] state and sources can disagree	scheduled check-in prompts asking how learning feels	heartbeats	[pass] single-source assumptions	[pass] consistent state and fault-tolerant sources	L	M	rejected: open-ended thinking tax	[pass] consistency and provenance checks	[computed] Experience-sampled use; Reflection prompts	O4219 L455	KNOWN	R:TAX
L179	14	Distributed-systems donor	Backpressure	[pass] state and sources can disagree	dose shrinks when life is overloaded	backpressure	[pass] single-source assumptions	[pass] consistent state and fault-tolerant sources	L	M	[pass] complexity	[pass] consistency and provenance checks	[computed] Self-shrinking dose; Calendar feedforward	L487 L098	KNOWN	S
L180	14	Distributed-systems donor	Local-first	[pass] state and sources can disagree	works offline	local-first software (Kleppmann et al. 2019)	[pass] single-source assumptions	[pass] consistent state and fault-tolerant sources	L	M	[pass] complexity	[pass] consistency and provenance checks	[computed] Offline-first; No single point of failure	L422 L406	KNOWN	S
L181	14	Distributed-systems donor	Replicated sources	[pass] state and sources can disagree	primary data embedded	replication	[pass] single-source assumptions	[pass] consistent state and fault-tolerant sources	L	M	[pass] complexity	[pass] consistency and provenance checks	[computed] Primary artifact as the unit; Primary-data puzzle	L044 O5110	KNOWN	S
L182	14	Distributed-systems donor	Partition tolerance	[pass] state and sources can disagree	the organ keeps working with no network and reconciles later	CAP theorem / partition tolerance	[pass] single-source assumptions	[pass] consistent state and fault-tolerant sources	L	M	[pass] complexity	[pass] consistency and provenance checks	[computed] Stop; Silent organ	L520 O6413	KNOWN	S
L183	15	Scientific-discovery donor	Discovery reenactment	[pass] results are taught, not how they were found	real data, the original puzzle	historical case studies	[pass] textbooks present conclusions	[pass] reasoning with the original evidence	M	M	[pass] hindsight in the design	[pass] prediction accuracy on unseen evidence	[computed] Archive data; Primary-data puzzle	L380 O5110	KNOWN	S
L184	15	Scientific-discovery donor	Hypothesis tester	[pass] results are taught, not how they were found	explanations vs observations	inquiry tools	[pass] textbooks present conclusions	[pass] reasoning with the original evidence	M	M	[pass] hindsight in the design	[pass] prediction accuracy on unseen evidence	[computed] Variation and selection of explanations; Explanatory-depth probes	L072 L450	KNOWN	S
L185	15	Scientific-discovery donor	Archival predict-observe	[pass] results are taught, not how they were found	predict, then see the archive	predict-observe-explain (White & Gunstone)	[pass] textbooks present conclusions	[pass] reasoning with the original evidence	M	M	[pass] hindsight in the design	[pass] prediction accuracy on unseen evidence	[computed] Growth archive; Explain + predict	L410 L456	KNOWN	S
L186	15	Scientific-discovery donor	Anomaly hunt	[pass] results are taught, not how they were found	find the point that doesn't fit	anomaly detection	[pass] textbooks present conclusions	[pass] reasoning with the original evidence	M	M	[pass] hindsight in the design	[pass] prediction accuracy on unseen evidence	[computed] Scaffold decay curve; Anomaly of the month	O6020 O6203	KNOWN	S
L187	15	Scientific-discovery donor	Replication literacy	[pass] results are taught, not how they were found	why findings fail to replicate	replication crisis literature	[pass] textbooks present conclusions	[pass] reasoning with the original evidence	M	M	[pass] hindsight in the design	[pass] prediction accuracy on unseen evidence	[computed] Paired taste tasks; Twin explanation	L235 O5915	KNOWN	S
L188	15	Scientific-discovery donor	Controlled-comparison design	[pass] results are taught, not how they were found	design a fair test	CVS teaching (Chen & Klahr 1999)	[pass] textbooks present conclusions	[pass] reasoning with the original evidence	M	M	[pass] hindsight in the design	[pass] prediction accuracy on unseen evidence	[computed] Measurement design; Music institutions	L189 L257	KNOWN	S
L189	15	Scientific-discovery donor	Measurement design	[pass] results are taught, not how they were found	choose what to measure	measurement theory	[pass] textbooks present conclusions	[pass] reasoning with the original evidence	M	M	[pass] hindsight in the design	[pass] prediction accuracy on unseen evidence	[computed] Measurement atom; Autonomy	O4612 L301	KNOWN	S
L190	15	Scientific-discovery donor	Disputes as drama	[pass] results are taught, not how they were found	real scientific conflicts	controversy-based teaching	[pass] textbooks present conclusions	[pass] reasoning with the original evidence	M	M	[pass] hindsight in the design	[pass] prediction accuracy on unseen evidence	[computed] Thinker conflicts; Historians' disputes	L223 L385	KNOWN	S
L191	15	Scientific-discovery donor	Personal lab notebook	[pass] results are taught, not how they were found	registered self-experiments	lab notebooks	[pass] textbooks present conclusions	[pass] reasoning with the original evidence	M	M	[pass] hindsight in the design	[pass] prediction accuracy on unseen evidence	[computed] Experiment registry; Self-assessment rubrics	L485 L452	KNOWN	S
L192	15	Scientific-discovery donor	Fermi estimates	[pass] results are taught, not how they were found	orders of magnitude	Fermi problems	[pass] textbooks present conclusions	[pass] reasoning with the original evidence	M	M	[pass] hindsight in the design	[pass] prediction accuracy on unseen evidence	[computed] Orders of magnitude; Orders-of-magnitude ladder	L342 O6718	KNOWN	S
L193	15	Scientific-discovery donor	Model-based reasoning	[pass] results are taught, not how they were found	reason by building and running a small model rather than recalling facts	model-based reasoning (Nersessian)	[pass] textbooks present conclusions	[pass] reasoning with the original evidence	M	M	[pass] hindsight in the design	[pass] prediction accuracy on unseen evidence	[computed] Causal model building; Values vs facts splitter	L320 O5516	KNOWN	S
L194	15	Scientific-discovery donor	Peer-review simulation	[pass] results are taught, not how they were found	the learner reviews a simulated paper and a simulated reviewer replies	peer-review training	[pass] textbooks present conclusions	[pass] reasoning with the original evidence	M	M	rejected: cost exceeds value	[pass] prediction accuracy on unseen evidence	[computed] Protégé effect; Alien item difficulty calibration	L010 O5213	KNOWN	R:COST
L195	15	Scientific-discovery donor	Landmark figures	[pass] results are taught, not how they were found	read the original figure	history-of-science cases	[pass] textbooks present conclusions	[pass] reasoning with the original evidence	M	M	[pass] hindsight in the design	[pass] prediction accuracy on unseen evidence	[computed] Whole treatises; Whole histories	L364 L390	KNOWN	S
L196	16	Expertise donor	Many cases with feedback	[pass] expert perception is not taught	recognition-primed skill	Klein's RPD model	[pass] experts' cues are tacit	[pass] fast, accurate recognition from many cases	M	M	[pass] narrow transfer	[pass] new-case accuracy and speed	[computed] Intuition from many cases; Collapse cases	O5105 L416	KNOWN	S
L197	16	Expertise donor	Perceptual category learning	[pass] expert perception is not taught	fast visual discrimination	perceptual learning modules (Kellman)	[pass] experts' cues are tacit	[pass] fast, accurate recognition from many cases	M	M	[pass] narrow transfer	[pass] new-case accuracy and speed	[computed] Learning-style profile; Perceptual resolution drills	O5913 O4711	KNOWN	S
L198	16	Expertise donor	Pre-mortem	[pass] expert perception is not taught	imagine the failure first	Klein 2007	[pass] experts' cues are tacit	[pass] fast, accurate recognition from many cases	M	M	[pass] narrow transfer	[pass] new-case accuracy and speed	[computed] Pre-mortem critique; No single point of failure	O5805 L406	KNOWN	S
L199	16	Expertise donor	Cue discovery	[pass] expert perception is not taught	find the cue experts use	cue learning research	[pass] experts' cues are tacit	[pass] fast, accurate recognition from many cases	M	M	[pass] narrow transfer	[pass] new-case accuracy and speed	[computed] Expert disagreement finder; Embodied tasks	L474 L318	KNOWN	S
L200	16	Expertise donor	Expert think-alouds	[pass] expert perception is not taught	recordings of experts thinking aloud through cases	cognitive task analysis	[pass] experts' cues are tacit	[pass] fast, accurate recognition from many cases	M	M	rejected: rights problem	[pass] new-case accuracy and speed	[computed] Philosophy of science by cases; Expert disagreement finder	L360 L474	KNOWN	R:COPY
L201	16	Expertise donor	Fluency rounds	[pass] expert perception is not taught	speed after mastery	fluency training (precision teaching)	[pass] experts' cues are tacit	[pass] fast, accurate recognition from many cases	M	M	[pass] narrow transfer	[pass] new-case accuracy and speed	[computed] Speed-reading for concepts; Definitions after concepts	O4915 L362	KNOWN	S
L202	16	Expertise donor	Error patterns	[pass] expert perception is not taught	recognise classes of error	error analysis	[pass] experts' cues are tacit	[pass] fast, accurate recognition from many cases	M	M	[pass] narrow transfer	[pass] new-case accuracy and speed	[computed] Error-type twin; Dark-pattern ban	O5918 L423	KNOWN	S
L203	16	Expertise donor	Reference class	[pass] expert perception is not taught	start from base rates of similar cases	reference-class forecasting	[pass] experts' cues are tacit	[pass] fast, accurate recognition from many cases	M	M	[pass] narrow transfer	[pass] new-case accuracy and speed	[computed] Primitives inside medicine; Medicine + base rates	L064 L462	KNOWN	S
L204	16	Expertise donor	Calibration drills	[pass] expert perception is not taught	repeated confidence-rated items with feedback on calibration	Good Judgment Project	[pass] experts' cues are tacit	[pass] fast, accurate recognition from many cases	M	M	[pass] narrow transfer	[pass] new-case accuracy and speed	[computed] Haptic confidence; Taste calibration	L425 O5708	KNOWN	S
L205	16	Expertise donor	Surprise journal	[pass] expert perception is not taught	a free-text journal of surprises	prediction journals	[pass] experts' cues are tacit	[pass] fast, accurate recognition from many cases	M	M	rejected: open-ended thinking tax	[pass] new-case accuracy and speed	[computed] Bounded self-explanation; Free-text reflection box	L312 O4318	KNOWN	R:TAX
L206	16	Expertise donor	Surface variation	[pass] expert perception is not taught	same deep structure, many surfaces	variability of practice	[pass] experts' cues are tacit	[pass] fast, accurate recognition from many cases	M	M	[pass] narrow transfer	[pass] new-case accuracy and speed	[computed] Same-shape detector; Variation and selection of explanations	L019 L072	KNOWN	S
L207	16	Expertise donor	Expert blind-spot map	[pass] expert perception is not taught	a map of what experts fail to explain to novices	expert blind spot (Nathan & Petrosino)	[pass] experts' cues are tacit	[pass] fast, accurate recognition from many cases	M	M	rejected: cannot be measured	[pass] new-case accuracy and speed	[computed] Blind-spot survey; Gain scheduling	L479 L096	KNOWN	R:UNTEST
L208	16	Expertise donor	Tacit contrast	[pass] expert perception is not taught	elicit tacit knowledge by contrasts	tacit knowledge elicitation	[pass] experts' cues are tacit	[pass] fast, accurate recognition from many cases	M	M	[pass] narrow transfer	[pass] new-case accuracy and speed	[computed] Knowledge in pieces; Pattern separation	L324 L334	KNOWN	S
L209	17	Game-design donor	Committed bets	[pass] practice lacks structure and challenge	stake confidence on predictions	prediction markets	[pass] exercises are flat lists	[pass] structured challenge without manipulation	L	M	[pass] gamification slop	[pass] does the structure raise delayed transfer	[computed] Belief ledger; Prediction error	O5401 L327	KNOWN	S
L210	17	Game-design donor	Multi-primitive boss problems	[pass] practice lacks structure and challenge	problems needing two primitives	capstone problems	[pass] exercises are flat lists	[pass] structured challenge without manipulation	L	M	[pass] gamification slop	[pass] does the structure raise delayed transfer	[computed] Primitive portfolio; Parallel primitives	L278 L140	KNOWN	S
L211	17	Game-design donor	Sandbox models	[pass] practice lacks structure and challenge	open models with no task, explored freely	sandbox games	[pass] exercises are flat lists	[pass] structured challenge without manipulation	L	M	[pass] gamification slop	[pass] does the structure raise delayed transfer	[computed] 3D models; Timelines as models	L438 L386	KNOWN	S
L212	17	Game-design donor	Speedruns	[pass] practice lacks structure and challenge	race through sessions against the clock	speedrunning	[pass] exercises are flat lists	[pass] structured challenge without manipulation	L	M	rejected: decoration or gamification	[pass] does the structure raise delayed transfer	[computed] Discovery obligation; Circadian gate	O6913 L074	KNOWN	R:SLOP
L213	17	Game-design donor	Hidden-information puzzles	[pass] practice lacks structure and challenge	puzzles where the right move is asking for the hidden variable	hidden-information games	[pass] exercises are flat lists	[pass] structured challenge without manipulation	L	M	[pass] gamification slop	[pass] does the structure raise delayed transfer	[computed] Blind-spot sense; Unknown-unknown probe	O4718 O5204	KNOWN	S
L214	17	Game-design donor	Levels by transfer	[pass] practice lacks structure and challenge	game levels unlocked by transfer scores	level design	[pass] exercises are flat lists	[pass] structured challenge without manipulation	L	M	rejected: decoration or gamification	[pass] does the structure raise delayed transfer	[computed] New Game+; Lesson as a level with a boss	L220 L049	KNOWN	R:SLOP
L215	17	Game-design donor	Save points	[pass] practice lacks structure and challenge	resume exactly where the learner stopped	save systems	[pass] exercises are flat lists	[pass] structured challenge without manipulation	L	M	[pass] gamification slop	[pass] does the structure raise delayed transfer	[computed] Mechanism passport; Learner genome	O5016 L078	KNOWN	S
L216	17	Game-design donor	Player-reading difficulty	[pass] practice lacks structure and challenge	difficulty adapts silently from behaviour	dynamic difficulty adjustment	[pass] exercises are flat lists	[pass] structured challenge without manipulation	L	M	[pass] gamification slop	[pass] does the structure raise delayed transfer	[computed] Hormesis; Speed-reading for concepts	L069 O4915	KNOWN	[computed] M:Committed bets
L217	17	Game-design donor	Campaign story	[pass] practice lacks structure and challenge	an overarching story connects the seasons	campaign design	[pass] exercises are flat lists	[pass] structured challenge without manipulation	L	M	[pass] gamification slop	[pass] does the structure raise delayed transfer	[computed] Federal seasons; Cheap authored seasons	L402 L405	KNOWN	[computed] M:Committed bets
L218	17	Game-design donor	Badges	[pass] practice lacks structure and challenge	badges for achievements	gamification badges	[pass] exercises are flat lists	[pass] structured challenge without manipulation	L	M	rejected: decoration or gamification	[pass] does the structure raise delayed transfer	[computed] Motivation outsourcing refusal; Capability as the unit	O4114 L001	KNOWN	R:SLOP
L219	17	Game-design donor	Co-op	[pass] practice lacks structure and challenge	two learners, one model	cooperative games	[pass] exercises are flat lists	[pass] structured challenge without manipulation	L	M	[pass] gamification slop	[pass] does the structure raise delayed transfer	[computed] Parallel primitives; Model consistency check	L140 O5615	KNOWN	S
L220	17	Game-design donor	New Game+	[pass] practice lacks structure and challenge	replay with no scaffolds	New Game+ (games)	[pass] exercises are flat lists	[pass] structured challenge without manipulation	L	M	[pass] gamification slop	[pass] does the structure raise delayed transfer	[computed] Lesson as a level with a boss; Levels by transfer	L049 L214	KNOWN	S
L221	17	Game-design donor	Emergent play	[pass] practice lacks structure and challenge	models that surprise	emergent gameplay	[pass] exercises are flat lists	[pass] structured challenge without manipulation	L	M	[pass] gamification slop	[pass] does the structure raise delayed transfer	[computed] 3D models; Anomaly of the month	L438 O6203	KNOWN	S
L222	18	Story donor	Mystery structure	[pass] ideas without narrative are forgotten	question → clues → reveal	mystery narrative structure	[pass] stories seen as soft	[pass] memorable anchors that stay true	L	M	[pass] fabrication and manipulation	[pass] hook accuracy for story-anchored ideas	[computed] Question vault; Question, not topic	L476 L009	KNOWN	S
L223	18	Story donor	Thinker conflicts	[pass] ideas without narrative are forgotten	real disputes	history of ideas	[pass] stories seen as soft	[pass] memorable anchors that stay true	L	M	[pass] fabrication and manipulation	[pass] hook accuracy for story-anchored ideas	[computed] Disputes as drama; Historians' disputes	L190 L385	KNOWN	S
L224	18	Story donor	Future self as protagonist	[pass] ideas without narrative are forgotten	the learner's own future self narrates why the idea matters	possible selves research	[pass] stories seen as soft	[pass] memorable anchors that stay true	L	M	[pass] fabrication and manipulation	[pass] hook accuracy for story-anchored ideas	[computed] Contract with the future self; Self-directed seasons	L482 L519	KNOWN	S
L225	18	Story donor	Cliffhangers	[pass] ideas without narrative are forgotten	sessions end on unresolved hooks to pull the learner back	serial fiction	[pass] stories seen as soft	[pass] memorable anchors that stay true	L	M	rejected: manufactured compulsion	[pass] hook accuracy for story-anchored ideas	[computed] Closed endings; Learner authors sessions	O4411 L508	KNOWN	R:ADDICT
L226	18	Story donor	Myth checks as twists	[pass] ideas without narrative are forgotten	vivid story, checked detail	misconception-based teaching	[pass] stories seen as soft	[pass] memorable anchors that stay true	L	M	[pass] fabrication and manipulation	[pass] hook accuracy for story-anchored ideas	[computed] Campaign story; Boss as story game	L217 O6114	KNOWN	S
L227	18	Story donor	Counterfactual narratives	[pass] ideas without narrative are forgotten	stories of what would have happened otherwise, then checked against evidence	counterfactual history	[pass] stories seen as soft	[pass] memorable anchors that stay true	L	M	[pass] fabrication and manipulation	[pass] hook accuracy for story-anchored ideas	[computed] Question from a surprise; Counterfactual tasks	O5303 L379	KNOWN	S
L228	18	Story donor	Story → model → story	[pass] ideas without narrative are forgotten	open with a story, extract the model, close with a new story using it	case → principle → case teaching	[pass] stories seen as soft	[pass] memorable anchors that stay true	L	M	[pass] fabrication and manipulation	[pass] hook accuracy for story-anchored ideas	[computed] Co-op; New Game+	L219 L220	KNOWN	S
L229	18	Story donor	Unreliable narrator	[pass] ideas without narrative are forgotten	a misleading claim to debunk	erroneous examples	[pass] stories seen as soft	[pass] memorable anchors that stay true	L	M	[pass] fabrication and manipulation	[pass] hook accuracy for story-anchored ideas	[computed] Evidence consensus; Provenance checker	L171 L504	KNOWN	[computed] M:Mystery structure
L230	18	Story donor	Character anchors	[pass] ideas without narrative are forgotten	a person carries the idea	character-driven narrative	[pass] stories seen as soft	[pass] memorable anchors that stay true	L	M	[pass] fabrication and manipulation	[pass] hook accuracy for story-anchored ideas	[computed] Punctuated weeks; One idea per session	L089 O4413	KNOWN	S
L231	18	Story donor	Branching story	[pass] ideas without narrative are forgotten	stories whose branches follow the learner's predictions	branching narratives	[pass] stories seen as soft	[pass] memorable anchors that stay true	L	M	[pass] fabrication and manipulation	[pass] hook accuracy for story-anchored ideas	[computed] Interferometer on beliefs; Learner genome	O5513 L078	KNOWN	[computed] M:Myth checks as twists
L232	18	Story donor	Serial arcs	[pass] ideas without narrative are forgotten	season-long threads	serial storytelling	[pass] stories seen as soft	[pass] memorable anchors that stay true	L	M	[pass] fabrication and manipulation	[pass] hook accuracy for story-anchored ideas	[computed] Reflex arcs; Auto-season from a book	L077 L505	KNOWN	S
L233	18	Story donor	Stakes per session	[pass] ideas without narrative are forgotten	each session opens with what goes wrong without the idea	relevance interventions (Hulleman & Harackiewicz)	[pass] stories seen as soft	[pass] memorable anchors that stay true	L	M	[pass] fabrication and manipulation	[pass] hook accuracy for story-anchored ideas	[computed] Stakes-first framing; Handover protocol	O4212 O6815	KNOWN	S
L234	18	Story donor	Fictionalised facts	[pass] ideas without narrative are forgotten	invented details added to real history for vividness	historical fiction	[pass] stories seen as soft	[pass] memorable anchors that stay true	L	M	rejected: fabrication risk	[pass] hook accuracy for story-anchored ideas	[computed] Thinker conflicts; Real research	L223 L513	KNOWN	R:TRUTH
